abandon vt.；丢弃；放弃，抛弃
gray adj.；灰色的；n.；灰色
great adj.；大的；伟大的
greatly adv.；大大地，非常
greedy adj.；贪吃的；贪婪的
Greek adj.；希腊的；n.；希腊人
green adj.；绿色的；n.；绿色
greenhouse n.；温室，玻璃暖房
greet vt.；问候，招呼；反应
greeting n.；问候，招呼，致敬
grey adj.；灰色的；n.；灰色
grieve vt.；使悲痛；vi.；悲痛
grind vt.；磨(碎)；磨快
grip vt.；握紧，抓牢；n.；紧握
haste n.；急速，急忙；草率
hasten vt.；催促；vi.；赶紧
hasty adj.；急速的；仓促的
hat n.；帽子(一般指有边的)
hatch vt.；孵出；vi.(蛋)孵化
hate vt.；恨，憎恨；不喜欢
hateful adj.；可恨的，可恶的
hatred n.；憎恶，憎恨，仇恨
have v.aux.；已经；vt.；有；吃
hawk n.；鹰，隼
hay n.；干草
hazard n.；危险；公害
he pron.(主格)他
head n.；头；上端；vt.；率领
headache n.；头痛；头痛的事
heading n.；标题，题词，题名
headline n.；大字标题；新闻提要
headmaster n.；校长
headquarters n.；司令部；总部
heal vt.；治愈；使和解
health n.；健康，健康状况
healthy adj.；健康的；有益健康的
heap n.(一)堆；大量
hear vt.；听见；审讯；听说
heart n.；心，内心；勇气
heat n.；热，炎热；vi.；变热
heating n.；加热，供暖
heaven n.；天堂；天，天空
heavily adv.；重重地；大量地
heavy adj.；重的；大的；充满的
hedge n.；篱笆，树篱；障碍物
heel n.；脚后跟，踵，后跟
height n.；高，高度；高处
heir n.；后嗣，继承人
helicopter n.；直升机
hell n.；地狱；极大的痛苦
hello int.；喂
helmet n.；头盔，钢盔
help vt.；帮助；援助；n.；帮手
helpful adj.；给予帮助的；有用的
helpless adj.；无助的；无能的
hen n.；母鸡，雌禽
hence adv.；因此，所以；今后
her pron.(宾格)她；她的
herd n.；兽群，牧群；vt.；放牧
here adv.；这里；向这里
hostess n.；女主人；空姐
hostile adj.；敌方的；不友善的
hot adj.；热的；刺激的；辣的
hotel n.；旅馆
hour n.；小时；时间，时刻
house n.；房屋，住宅；商号
household n.；家庭，户；家务
housewife n.；家庭主妇
how adv.；怎么；怎样；多少
however adv.；然而；不管怎样
huge adj.；巨大的，庞大的
human adj.；人的，人类的；n.；人
humble adj.；谦逊的；地位低下的
humid adj.；湿的，湿气重的
humorous adj.；富于幽默的，诙谐的
humour n.；幽默，诙谐，幽默感
hundred num.；百，百个；n.；许多
hunger n.；饿，饥饿；渴望
hungry adj.；饥饿的；渴望的
hunt n.；打猎；搜寻；vt.；追猎
hurry vi.；赶紧；vt.；催促
hurt vt.；使受伤；使痛心
husband n.；丈夫
hut n.；小屋，棚屋
hydrogen n.；氢
horror n.；恐怖；战栗；憎恶
horse n.；马；马科动物
horsepower n.；马力
hospital n.；医院
host n.；主人；东道主
habit n.；习惯；习性
habitual adj.；习惯性的，惯常的
hair n.；头发，毛发；毛
haircut n.；理发
half n.；半，一半；adj.；一半的
hall n.；门厅；过道；会堂
halt vi.；停止；立定；n.；停住
hamburger n.；汉堡包，牛肉饼
hammer n.；锤，榔头；vt.；锤击
hand n.；手；人手；指针
handful n.；一把；少数，一小撮
handkerchief n.；手帕
handle n.；柄，把手；vt.；拿，触
handsome adj.；英俊的；相当大的
handwriting n.；笔迹，手迹，书法
handy adj.；手边的；便于使用的
hang vt.；挂，悬；吊死
happen vi.；发生；碰巧，恰好
happiness n.；幸福，幸运；快乐
happy adj.；快乐的；幸福的
harbour n.；海港，港口；vt.；庇护
hard adj.；硬的；困难的
harden vt.；使变硬；vi.；变硬
hardly adv.；几乎不，简直不
hardship n.；艰难，困苦
hardware n.；五金器具；硬件
hare n.；野兔
harm n.；伤害，损害；vt.；损害
harmful adj.；有害的
harmony n.；调合，协调，和谐
harness vt.；治理；n.；马具，挽具
harsh adj.；严厉的；刺耳的
harvest n.；收获，收成；vt.；收割
hero n.；男主角；英雄；勇士
heroic adj.；英雄的；英勇的
heroine n.；女主角；女英雄
hers pron.；她的(所有物)
herself pron.；她自己；她亲自
hesitate vi.；犹豫，踌躇；含糊
hi ini.；嗨(表示问候等)
hide vt.；把…藏起来；隐瞒
high adj.；高的；高级的；adv.；高
highly adv.；高度地，很，非常
highway n.；公路；大路
hill n.；小山，山岗；丘陵
hillside n.(小山)山腰，山坡
him pron.(宾格)他
himself pron.；他自己；他亲自
hint n.；暗示，示意；建议
hire vt.；租借；n.；租用，雇用
his pron.；他的，他的东西
historical adj.；历史的，有关历史的
history n.；历史；个人经历
hit vt.；打；碰撞；n.；击
hobby n.；业余爱好，癖好
hold vt.；拿住；掌握；拥有
hole n.；洞；孔眼，裂开处
holiday n.；假日，节日；假期
hollow adj.；空的；空洞的
holy adj.；神圣的；圣洁的
home n.；家；家乡；adj.；家庭的
honest adj.；诚实的；可敬的
honesty n.；诚实，正直
honey n.；蜜，蜂蜜；甜，甜蜜
honeymoon n.；蜜月
honour n.；光荣；尊敬，敬意
honourable adj.；诚实的；光荣的
hook n.；钩，挂钩；vt.；钩住
hope n.&vt.&vi.；希望
hopeful adj.；有希望的
hopeless adj.；没有希望的，绝望的
horizon n.；地平线；眼界，见识
horizontal adj.；地平的；水平的
horn n.；号角；警报器；角
I pron.(主格)我
ice n.；冰，冰块；vt.；冰镇
ice-cream n.；冰淇淋
idea n.；想法；思想；意见
ideal adj.；理想的；观念的
identical adj.；完全相同的；同一的
identify vt.；认出，识别，鉴定
idiom n.；习语，成语
idle adj.；空闲的；懒散的
if conj.；假如，如果
ignorant adj.；不知道的；无知的
ignore vt.；不顾，不理，忽视
ill adj.；有病的；坏的；adv.；坏
illegal adj.；不合法的，非法的
illness n.；病，疾病
illustrate vt.(用图等)说明
illustration n.；说明，图解；例证
image n.；像；形象；映象
imaginary adj.；想象中的，假想的
imagination n.；想象；想象力；空想
industrialize vt.；使工业化
industry n.；工业，产业；勤劳
inefficient adj.；效率低的，无能的
inevitable adj.；不可避免的，必然的
inexpensive adj.；花费不多的，廉价的
infant n.；婴儿；adj.；婴儿的
infect vt.；传染；感染
infer vt.；推论，推断；猜想
inferior adj.；下等的；劣等的
infinite adj.；无限的；无数的
influence n.；影响；势力；vt.；影响
influential adj.；有影响的；有权势的
information n.；消息，信息；通知
inhabit vt.；居住于，栖息于
inhabitant n.；居民，住户
inherit vt.；继承(传统等)
initial adj.；最初的；词首的
injection n.；注射，注入；充满
injure vt.；伤害，损害，损伤
injury n.；损害，伤害；受伤处
ink n.；墨水，油墨
inn n.；小旅店；小酒店
inner adj.；内部的；内心的
innocent adj.；清白的，幼稚的
input n.；输入；投入的资金
inquire vt.；打听，询问；调查
inquiry n.；询问，打听；调查
insect n.；昆虫，虫
insert vt.；插入；嵌入；登载
inside prep.；在…里面；n.；内部
insist vi.；坚持；坚持要求
inspect vt.；检查，审查；检阅
inspection n.；检查，审查；检阅
inspire vt.；鼓舞；给…以灵感
install vt.；安装，设置
installation n.；安装；装置；设施
instance n.；例子，实例，事例
instant n.；瞬间；adj.；立即的
instantly adv.；立即，即刻
instead adv.；代替，顶替；反而
instinct n.；本能；直觉；生性
institute n.；研究所；学院
institution n.；协会；制度，习俗
instruct vt.；教；指示；通知
instruction n.；命令；教学；教训
involve vt.；使卷入；牵涉
inward adj.；里面的；adv.；向内
iron n.；铁；烙铁；vt.；烫(衣)
irregular adj.；不规则的；不整齐的
island n.；岛，岛屿
isolate vt.；使隔离，使孤立
issue n.；问题；发行；vt.；发行
it pron.；这，那，它
Italian adj.；意大利的；n.；意大利人
item n.；条，条款；一条
its pron.；它的
itself pron.；它自己；自身
inventor n.；发明者；发明家
invest vt.；投资；投入
investigate vt.&vi.；调查
investigation n.；调查，调查研究
investment n.；投资，投资额，投入
invisible adj.；看不见的，无形的
invitation n.；邀请，招待；请柬
invite vt.；邀请，聘请；招待
imagine vt.；想象，设想；料想
imitate vt.；模仿，仿效；仿制
immediate adj.；立即的；直接的
immediately adv.；立即；直接地
immense adj.；巨大的；极好的
impact n.；影响，作用；冲击
impatient adj.；不耐烦的，急躁的
implication n.；含义，暗示，暗指
imply vt.；暗示，意指
import vt.&n.；输入，进口
importance n.；重要；重要性
important adj.；重要的；有势力的
impose vt.；把…强加；征(税)
impossible adj.；不可能的，办不到的
impress vt.；给…深刻印象
impression n.；印；印象；印记
impressive adj.；给人印象深刻的
imprison vt.；关押，监禁；限制
improve vt.；使更好；vi.；改善
improvement n.；改进，改善；改进处
in prep.；在…里；adv.；进，入
inch n.；英寸
incident n.；发生的事；事件
incline n.；斜坡；vt.；使倾斜
include vt.；包括，包含
income n.；收入；收益；进款
incorrect adj.；不正确的，错误的
increase vt.&vi.&n.；增加
increasingly adv.；日益，越来越多地
indeed adv.；真正地；确实
indefinite adj.；不明确的；不定的
independence n.；独立，自主，自立
independent adj.；独立的；自主的
index n.；索引；指数；指标
India n.；印度
Indian adj.；印度的；n.；印度人
indicate vt.；标示，表示；表明
indication n.；指示；表示；表明
indifferent adj.；冷漠的；不积极的
indignant adj.；愤慨的，义愤的
indirect adj.；间接的；不坦率的
indispensable adj.；必不可少的，必需的
individual adj.；个别的；独特的
indoors adv.；在室内，在屋里
industrial adj.；工业的；产业的
instrument n.；仪器；工具；乐器
insufficient adj.；不足的；不适当的
insult vt.&n.；侮辱，凌辱
insurance n.；保险；保险费
insure vt.；给…保险；确保
intellectual n.；知识分子；adj.；智力的
intelligence n.；智力；理解力；情报
intelligent adj.；聪明的；理智的
intend vt.；想要，打算；意指
intense adj.；强烈的；紧张的
intensity n.；强烈，剧烈；强度
intensive adj.；加强的；精耕细作的
intention n.；意图，意向，目的
intentional adj.；故意的，有意识的
interaction n.；相互作用；干扰
interest n.；兴趣；利益；利息
interesting adj.；有趣的，引人入胜的
interfere vi.；干涉，干预；妨碍
interference n.；干涉，干预；阻碍
interior adj.；内的；内地的；n.；内部
intermediate adj.；中间的；中级的
internal adj.；内的；国内的
international adj.；国际的，世界(性)的
interpret vt.；解释，说明；口译
interpretation n.；解释；口译
interpreter n.；译员，口译者
interrupt vt.；打断，打扰；中止
interruption n.；中断，打断；障碍物
interval n.；间隔；休息；间距
interview n.；接见；会见；面谈
intimate adj.；亲密的；个人的
into prep.；进，入；进入到
introduce vt.；介绍；引进，传入
introduction n.；介绍；引进；引言
invade vt.；入侵，侵略；侵袭
invasion n.；入侵，侵略；侵犯
invent vt.；发明，创造；捏造
invention n.；发明，创造；捏造
jacket n.；短上衣，茄克衫
jail n.；监狱；vi.；监禁
jam n.；果酱
jam vt.；使塞满；使堵塞
January n.；一月
Japan n.；日本，日本国
Japanese adj.；日本的；n.；日本人
jar n.；罐子，坛子，广口瓶
jaw n.；颌，颚
jazz n.；爵士音乐，爵士舞曲
jealous adj.；妒忌的；猜疑的
jet n.；喷气式飞机；喷嘴
jewel n.；宝石；宝石饰物
jewish adj.；犹太人的
job n.；职业；工作；零活
join vt.；参加；连接
joint n.；接头，接缝；关节
judgement n.；意见；审判；判断
justice n.；正义，公正；司法
justify vt.；证明…是正当的
juice n.(水果等)汁，液
July n.；七月
jump vi.；跳；暴涨；vt.；跳过
June n.；六月
jungle n.；丛林，密林，莽丛
junior adj.；年少的；n.；晚辈
jury n.；陪审团；评奖团
just adv.；刚才；只是；正好
joke n.；笑话；vi.；说笑话
jolly adj.；快活的；令人高兴的
journal n.；日报，杂志；日志
journalist n.；记者，新闻工作者
journey n.；旅行，旅程；n.；旅行
joy n.；欢乐，喜悦；乐事
joyful adj.；十分喜悦的，快乐的
judge n.；法官；裁判员
keen adj.；热心的；激烈的
keep vi.；保持；坚持
keeper n.；看护人；饲养员
kettle n.；水壶，水锅
key n.；钥匙；键；答案
keyboard n.；键盘
kick vi.&vt.&n.；踢
kid n.；小孩，儿童，少年
kill vi.；杀死；扼杀；消磨
kilogram n.；千克，公斤
kilometer n.；千米，公里
kind n.；种类
kind adj.；友好的；和蔼的
kindness n.；仁慈，好意
king n.；国王，君主
kingdom n.；王国；领域，界
kiss vt.；吻；vi.；接吻；n.；吻
kitchen n.；厨房，灶间
kite n.；风筝
knee n.；膝，膝盖，膝关节
kneel vi.；跪，跪下，跪着
knife n.；小刀，刀，餐刀
knit vt.；把…编结；vi.；编织
knob n.；门把，拉手；旋纽
knock vi.&vt.&n.；敲，击，打
knot n.(绳的)结，(树的)节
know vt.；知道；认识；通晓
knowledge n.；知识，学识；知道
lab n.；实验室，研究室
label n.；标签；标记，符号
laboratory n.；实验室，研究室
labour n.；劳动；工作；劳工
lace n.；鞋带，系带；花边
lack vi.&vi.&n.；缺乏，不足
ladder n.；梯子，梯状物
lady n.；女士，夫人；贵妇人
lag vi.；走得慢；n.；落后
lake n.；湖
lamb n.；羔羊，小羊；羔羊肉
lame adj.；跛的；瘸的，残废的
lamp n.；灯
land n.；陆地；土地；vi.；上岸
landing n.；上岸，登陆，着陆
landlady n.；女房东；女地主
legal adj.；法律的；合法的
legend n.；传说，传奇
leisure n.；空闲时间；悠闲
lemon n.；柠檬，柠檬树
lend vt.；把…借给，贷(款)
length n.；长，长度；一段
lens n.；透镜，镜片；镜头
less adj.；更少的；adv.；更少地
lessen vt.；减少，减轻；缩小
lesson n.；功课，课；课程
lest conj.；惟恐，以免
let vt.；允许，让；使
letter n.；信；证书；字母
level n.；水平面；adj.；水平的
lever n.；杆，杠杆；控制杆
liable adj.；易于…的；可能的
liar n.；说谎的人
liberal adj.；心胸宽大的；慷慨的
liberate vt.；解放；释放
liberation n.；解放
liberty n.；自由；释放；许可
librarian n.；图书馆馆长
library n.；图书馆；藏书
license n.；许可；执照；vt.；准许
lick vt.；舔；舔吃
lid n.；盖子，盖，囊盖
lie vi.；躺，平放；位于
lie vi.；说谎，欺骗；n.；谎话
lieutenant n.；陆军中尉；副职官员
life n.；生命；一生；寿命
lifetime n.；一生，终身
lift vt.；提起，提高；n.；电梯
light n.；光，光线；灯，光源
light adj.；轻的，少量的
lighten vt.；照亮，使明亮
lightly adv.；轻轻地，轻松地
lightning n.；闪电，闪电放电
like vt.；喜欢；喜爱；希望
like prep.；像，如；像要
likely adj.；可能的；adv.；很可能
likewise adv.；同样地；也，又
limb n.；肢，臂，翼；树枝
lime n.；石灰
limit n.；限度；限制；范围
limitation n.；限制；限度，局限
limited adj.；有限的
love vt.；爱，喜欢；n.；爱
lovely adj.；可爱的；令人愉快的
lover n.；爱好者；情人；情侣
low adj.；低的，矮的；低下的
lower adj.；较低的；vt.；放下
loyal adj.；忠诚的，忠心的
loyalty n.；忠诚，忠心
luck n.；运气；好运，幸运
lucky adj.；幸运的；吉祥的
luggage n.；行李；皮箱，皮包
lumber n.；木材；木料；制材
lump n.；团，块；肿块
lunch n.；午餐，(美)便餐
lung n.；肺脏，肺
luxury n.；奢侈，奢华；奢侈品
loosen vt.；解开；使松驰
lord n.；贵族；上帝，基督
lorry n.；运货汽车，卡车
lose vt.；失去；迷失；输掉
loss n.；遗失；损失；失败
lot n.；许多，大量；签，阄
loud adj.；响亮的；吵闹的
loudspeaker n.；扬声器，喇叭
landlord n.；地主；房东，店主
lane n.(乡间)小路；跑道
language n.；语言，语言课程
lantern n.；提灯，灯笼
lap n.；膝部；一圈
large adj.；大的；巨大的
largely adv.；大部分；大量地
laser n.；激光
last adj.；最后的；adv.；最后
last vi.；持续，持久；耐久
late adj.；迟的；adv.；迟，晚
lately adv.；最近，不久前
later adv.；后来；过一会儿
Latin adj.；拉丁的；n.；拉丁语
latter adj.(两者中)后者的
laugh vi.；笑，发笑；n.；笑
laughter n.；笑，笑声
launch vt.；发射，投射；发动
laundry n.；洗衣房，洗衣店
lavatory n.；盥洗室，厕所
law n.；法律，法令；法则
lawn n.；草地，草坪，草场
lawyer n.；律师；法学家
lay vt.；置放；铺设；设置
layer n.；层，层次；铺设者
layout n.；布局，安排，设计
lazy adj.；懒惰的，懒散的
lead vt.；为…带路；领导
lead n.；铅，铅制品
leader n.；领袖，领导人；首领
leadership n.；领导
leading adj.；指导的；最主要的
leaf n.；叶，叶子
league n.；同盟，联盟；联合会
leak vi.；漏；泄露；n.；漏洞
lean vi.；倾斜，屈身；靠
leap vi.；跳，跃；n.；跳跃
learn vi.&vt.；学，学习
learned adj.；有学问的；学术上的
learning n.；学习；学问，知识
least adj.；最少的；adv.；最少
leather n.；皮革；皮革制品
leave vi.；离去；vt.；离开
lecture n.&vi.；演讲，讲课
left adj.；左边的；adv.；在左边
leg n.；腿，腿部
line n.；线；排；路线；线条
linen n.；亚麻布；亚麻织物
liner n.；班船，班机
link vt.；有环连接；n.；环
lion n.；狮子；勇猛的人
lip n.；嘴唇
liquid n.；液体；adj.；液体的
liquor n.；酒；溶液，液剂
list n.；表，目录；n.；列举
listen vi.；听，留神听；听从
listener n.；听者，听众之一
liter n.；升(容量单位)
literary adj.；文学(上)的
literature n.；文学；文献
little adj.；小的；少；幼小的
live vi.；居住；活；adj.；活的
lively adj.；活泼的；逼真的
liver n.；肝；肝脏
living adj.；活的；n.；生活，生计
living-room n.；起居室
load vt.；装；装满；n.；负载
loaf n.；一条面包，一个面包
loan n.；贷款；暂借；vt.；借出
local adj.；地方的；局部的
locate vt.；探明，找出，查出
location n.；位置，场所
lock n.；锁；vt.；锁上，锁住
locomotive n.；火车头，机车
lodge vi.；暂住，借宿，投宿
log n.；原木，木料
logic n.；逻辑，推理；逻辑性
logical adj.；逻辑的；符合逻辑的
lonely adj.；孤独的；荒凉的
long adj.；长的；远的；adv.；长久
long vi.；渴望，极想念
look vi.；看，显得；n.；看
loop n.；圈，环，环孔
loose adj.；松的；宽松的
machine n.；机器；机械
mad adj.；发疯的；恼火的
madam n.；夫人，女士，太太
magazine n.；杂志，期刊
magic n.；魔法，巫术；戏法
magnet n.；磁铁，磁石，磁体
magnetic adj.；磁的，有吸引力的
magnificent n.；壮丽的；华丽的
maid n.；女佣，女仆；少女
mail n.；邮件；vt.；邮寄
main adj.；主要的，最重要的
mainly adv.；主要地，大体上
mainland n.；大陆
maintain vt.；维持；赡养；维修
maintenance n.；维持，保持；维修
major adj.；较大的；n.；专业
majority n.；多数，大多数
make vt.；使；做，制造
male adj.；男的，雄的；n.；男子
man n.；男人；人；人类
manage vt.；管理；设法；对付
management n.；管理；经营，处理
manager n.；经理，管理人
mankind n.；人类
manly adj.；男子气概的，果断的
manner n.；方式；态度；礼貌
manual adj.；体力的；n.；手册
manufacture vt.；制造；n.；制造；产品
manufacturer n.；制造商；制造厂
many adj.；许多的；pron.；许多人
map n.；地图；图；天体图
meat n.；肉
mechanic n.；技工，机械，机修工
mechanical adj.；机械的；力学的
mechanically adv.；机械地
mechanics n.；力学；技术性细节
medal n.；奖章，勋章，纪念章
medical adj.；医学的；内科的
medicine n.；内服药；医学
Mediterranean n.；地中海；adj.；地中海的
medium n.；媒质；中间；adj.；中等的
meet vt.；遇见；vi.；相遇
meeting n.；聚集，会合，会见
melon n.；瓜，甜瓜
melt vi.；融化；vt.；使融化
member n.；成员，会员
memorial adj.；纪念的；记忆的
memory n.；记忆；回忆；存储
mend vt.；修理，修补，缝补
mental adj.；智力的；精神的
mention vt.&n.；提及，说起
menu n.；菜单；饭菜，菜肴
merchant n.；商人；零售商
mercury n.；水银，汞
Mercury n.；水星
mercy n.；仁慈，慈悲，恩惠
mere adj.；仅仅的；纯粹的
merely adv.；仅仅，只不过
merit n.；长处，优点；功过
merry adj.；欢乐的，愉快的
mess n.；混乱，混杂，肮脏
message n.；信息，消息；启示
messenger n.；送信者，信使
metal n.；金属，金属制品
meter n.；计量器，计，表
method n.；方法，办法；教学法
metre n.；米，公尺
metric adj.；公制的，米制的
microcomputer n.；微型计算机，微机
microphone n.；话筒，麦克风
microscope n.；显微镜
midday n.；正午，中午
middle n.；中部；adj.；中部的
midnight n.；午夜，子夜，夜半
midst n.；中部，中间，当中
might v.aux.；可能，会，也许
might n.；力量，威力，能力
musical adj.；音乐的；和谐的
musician n.；音乐家；作曲家
must v.aux.；必须；必然要
mute adj.；缄默的；n.；哑巴
mutter vi.；轻声低语；抱怨
mutton n.；羊肉
mutual adj.；相互的；共同的
my pron.；我的
myself pron.；我自己；我亲自
mysterious adj.；神秘的；难以理解的
mystery n.；神秘；神秘的事物
marble n.；大理石
March n.；三月
march vi.；行军；游行示威
margin n.；页边的空白；边缘
marine adj.；海的；海上的
mark n.；斑点；记号；vt.；标明
market n.；市场；集市；销路
marriage n.；结婚，婚姻；婚礼
married adj.；已婚的；婚姻的
marry vt.；娶，嫁；vi.；结婚
marvelous adj.；奇迹般的；了不起的
Marxisim n.；马克思主义
Marxist adj.；马克思主义的
mask n.；面具；伪装；vt.；掩饰
mass n.；众多；团；群众
master n.；主人；能手；硕士
masterpiece n.；杰作，名著
mat n.；席子；草席；垫子
match n.；比赛，竞赛；对手
match n.(一根)火柴
mate n.；伙伴，同事；配偶
material n.；材料；素材；adj.；物质的
materialism n.；唯物主义
mathematical adj.；数学的，数学上的
mathematics n.；数学
maths n.(英)数学
matter n.；事情；物质；vi.；要紧
mature adj.；成熟的；vt.；使成熟
maximum n.；最大量；adj.；最大的
May n.；五月
may v.aux.；可能；可以，祝
maybe adv.；大概，或许；也许
mayor n.；市长
me pron.(宾格)我
meadow n.；草地，牧草地
meal n.；膳食，一餐
mean vt.；作…解释；意指
mean adj.；自私的；吝啬的
mean adj.；平均的；n.；平均值
meaning n.；意义，意思；意图
means n.；方法，手段，工具
meanwhile adv.；同时，当时
measurable adj.；可测量的
measure vt.；量，测量；n.；分量
measurement n.；衡量，测量；尺寸
mild adj.；和缓的；温柔的
mile n.；英里
military adj.；军事的；军人的
milk n.；乳，牛奶；vt.；挤(奶)
mill n.；磨坊；制造厂
millimetre n.；毫米
million num.；百万；n.；许多
mind n.；头脑；理智；记忆
mine pron.；我的
mine n.；矿，矿山；地雷
miner n.；矿工
mineral n.；矿物；adj.；矿物的
minimum n.；最小量；adj.；最小的
minister n.；部长，大臣；公使
ministry n.(政府的)部
minor adj.；较小的；较次要的
minority n.；少数；少数民族
minus adj.；负的；prep.；减(去)
minute n.；分，分钟；一会儿
minute adj.；微细的；详细的
miracle n.；奇迹，令人惊奇的人
mirror n.；镜子；vt.；反映，反射
miserable adj.；痛苦的，悲惨的
mislead vt.；使误入岐途
miss n.；小姐
miss vt.；未看到；惦念
missile n.；发射物；导弹
missing adj.；缺掉的，失去的
mission n.；使命，任务；使团
mist n.；薄雾
mistake n.；错误；vi.；误解，弄错
Mister n.；先生
mistress n.；女主人；夫人
misunderstand vt.；误解，误会，曲解
mix vt.；使混合，混淆
mixture n.；混合；混合物
moan n.；呻吟声；vi.；呻吟
mobile adj.；运动的；流动的
mode n.；方式，样式
model n.；模型；模式；模特儿
moderate adj.；温和的；有节制的
modern adj.；现代的，近代的
modest adj.；有节制的；谦虚的
modify vt.；更改，修改；修饰
moist adj.；湿润的；多雨的
moisture n.；潮湿，湿气；温度
nail n.；钉；指甲；vt.；钉
naked adj.；裸体的；无遮敝的
name n.；名字；名誉；vt.；说出
namely adv.；即，也就是
nap n.；小睡，打盹，瞌睡
narrow adj.；狭的，狭窄的
nasty adj.；龌龊的；淫猥的
nation n.；民族；国家
national adj.；民族的；国家的
nationality n.；国籍；民族，族
native adj.；本土的；n.；本地人
natural adj.；自然界的；天然的
naturally adv.；自然地；天然地
nature n.；大自然；本性；性质
naughty adj.；顽皮的，淘气的
naval n.；海军的，军舰的
navigation n.；航行；航海术；导航
navy n.；海军
near adv.；近，接近；adj.；近的
nearby adj.；附近的；adv.；在附近
nearly adv.；差不多；密切地
neat adj.；整洁的；熟练的
necessarily adv.；必然，必定
necessary adj.；必要的；必然的
necessity n.；必要性；必然性
neck n.；颈，脖子
necklace n.；项链，项圈
need vt.；需要；v.aux.；需要
needle n.；针，缝补，编织针
needless adj.；不需要的
negative adj.；否定的；消极的
neglect vt.；忽视，忽略；疏忽
Negro n.；黑人
neighbour n.；邻居，邻国，邻人
neighbourhood n.；邻居关系；邻近
noun n.；名词
novel n.；小说；adj.；新的
November n.；十一月
now adv.；现在；立刻；于是
nowadays adv.；现今，现在
nowhere adv.；任何地方都不
nuclear adj.；原子核的；核心的
nucleus n.；核，核心；(原子)核
nuisance n.；讨厌的东西
number n.；数，数字；号码
numerous adj.；为数众多的；许多
nurse n.；保姆；护士；vt.；看护
neither adj.(两者)都不的
nephew n.；侄子，外甥
nerve n.；神经；勇敢，胆量
nervous adj.；神经的；易激动的
nest n.；巢，窝，穴
net n.；网，网状物；通信网
network n.；网状物；网络
neutral adj.；中立的；中性的
never adv.；永不，决不；不
nevertheless conj.；然而；adv.；仍然
new adj.；新的；新近出现的
newly adv.；新近，最近
news n.；新闻，消息
newspaper n.；报纸，报
next adj.；紧接的；贴近的
nice adj.；美好的，令人愉快的
niece n.；侄女，外甥女
night n.；夜，夜间
nine num.；九，九个
nineteen num.；十九，十九个
ninety num.；九十，九十个
ninth num.；第九；九分之一
nitrogen n.；氮
no adv.；不；并不；adj.；没有
noble adj.；贵族的；高尚的
nobody pron.；谁也不；无人
nod vt.；点(头)；点头表示
noise n.；喧闹声；响声；噪声
noisy adj.；嘈杂的；喧闹的
none pron.；没有人；adv.；毫不
nonsense n.；胡说，废话
noon n.；正午，中午
nor conj.；也不；不
normal adj.；正常的，普通的
normally adv.；通常，正常地
north n.；北，北方；adj.；北方的
northeast n.；东北；adj.；位于东北的
northern adj.；北方的，北部的
northwest n.；西北；adj.；位于西北的
nose n.；鼻子；突出部分
not adv.；不，没有
note n.；笔记；便条；注释
notebook n.；笔记本，期票簿
nothing n.；没有东西；adv.；毫不
notice vt.；注意；n.；通知；注意
noticeable adj.；显而易见的；重要的
nursery n.；托儿所；苗圃
nut n.；坚果，干果；螺母
nylon n.；尼龙，耐纶
obey vt.；顺从；vi.；服从
object n.；物，物体；目的
object vi.；反对；抱反感
objection n.；反对，异议；不喜欢
objective adj.；客观的；无偏见的
oblige vt.；迫使；施恩惠于
observation n.；注意；观察；观察力
observe vt.；遵守；看到；说
observer n.；观察员，观测者
obstacle n.；障碍，障碍物，妨害
obtain vt.；获得，得到，买到
obvious adj.；明显的，显而易见的
obviously adv.；明显地，显然地
occasion n.；场合，时刻；时机
occasional adj.；偶然的；临时的
occasionally adv.；偶然；非经常地
occupation n.；占领，占据；职业
occupy vt.；占领；占，占有
occur vi.；发生；出现，存在
occurrence n.；发生，出现；事件
ocean n.；海洋；洋
Oceania n.；大洋洲
o'clock adv.…点钟
October n.；十月
odd adj.；奇数的；单只的
odour n.；气味，香气；味道
of prep.…的；由于
off adv.(离)开；(停)止
offend vt.；冒犯；vi.；犯过错
offer vt.；提供；提出；n.；提供
office n.；办公室；处，局，社
oriental adj.；东方的；东方国家的
origin n.；起源，由来；出身
original adj.；最初的；新颖的
ornament n.；装饰物；装饰
orphan n.；孤儿
other adj.；另外的；其余的
otherwise adv.；另外；要不然
ought v.aux.；应当，应该
ounce n.；盎司，英两
our pron.；我们的
ours pron.；我们的
ourselves pron.；我们自己
out adv.；出，在外；现出来
outcome n.；结果，后果，成果
outdoor adj.；户外的，室外的
outdoors adv.；在户外，在野外
outer adj.；外部的，外面的
outlet n.；出口，出路；排遣
outline n.；轮廓；略图；大纲
outlook n.；观点，看法；展望
output n.；产量；输出量；输出
outset n.；开始，开端
outside n.；外部；外表；adj.；外部的
outskirt n.；外边，郊区
outstanding adj.；突出的，杰出的
outward adj.；外面的；向外的
outwards adv.；向外，往海外
oven n.；炉，灶；烘箱
over prep.；在…上方；超过
overall n.；工装裤；adj.；全面的
officer n.；官员；干事；军官
official adj.；官员的；官方的
often adv.；经常，常常
oh int.；嗬，哦，唉呀
oil n.；油；石油；vt.；加油于
okay (缩作；OK)adj.&adv.；对，好
old adj.；老的；…岁的
omit vt.；省略，省去；遗漏
on prep.；在…上；在…旁
once adv.；一次；曾经；n.；一次
one num.；一；pron.；一个人
